"[STCODE_11]시도별","시도별","[STCODE_12]설립주체별","설립주체별","[STCODE_13]학교현황별","학교현황별","시점","중학교 개황",
"00","총계","A002","국립","B_1","교원수","2016 년","406",
"00","총계","A002","국립","B_1","교원수","2017 년","401",
"00","총계","A002","국립","B_1","교원수","2018 년","400",
"00","총계","A002","국립","B_1","교원수","2019 년","405",
"00","총계","A002","국립","B_1","교원수","2020 년","406",
"00","총계","A002","국립","B_1","교원수","2021 년","412",
"00","총계","A002","국립","B_1","교원수","2022 년","418",
"00","총계","A002","국립","B_2","여자","2013 년","269",
"00","총계","A002","국립","B_2","여자","2014 년","270",
"00","총계","A002","국립","B_2","여자","2015 년","272",
"00","총계","A002","국립","B_2","여자","2016 년","274",
"00","총계","A002","국립","B_2","여자","2017 년","273",
"00","총계","A002","국립","B_2","여자","2018 년","269",
"00","총계","A002","국립","B_2","여자","2019 년","275",
"00","총계","A002","국립","B_2","여자","2020 년","264",
"00","총계","A002","국립","B_2","여자","2021 년","272",
"00","총계","A002","국립","B_2","여자","2022 년","283",
"00","총계","A002","국립","C_1","직원수","2013 년","23",
"00","총계","A002","국립","C_1","직원수","2014 년","21",
"00","총계","A002","국립","C_1","직원수","2015 년","18",
"00","총계","A002","국립","C_1","직원수","2016 년","20",
"00","총계","A002","국립","C_1","직원수","2017 년","23",
"00","총계","A002","국립","C_1","직원수","2018 년","22",
"00","총계","A002","국립","C_1","직원수","2019 년","22",
"00","총계","A002","국립","C_1","직원수","2020 년","20",
"00","총계","A002","국립","C_1","직원수","2021 년","19",
"00","총계","A002","국립","C_1","직원수","2022 년","20",
"00","총계","A002","국립","C_2","여자","2013 년","7",
"00","총계","A002","국립","C_2","여자","2014 년","6",
"00","총계","A002","국립","C_2","여자","2015 년","6",
"00","총계","A002","국립","C_2","여자","2016 년","7",
"00","총계","A002","국립","C_2","여자","2017 년","5",
"00","총계","A002","국립","C_2","여자","2018 년","8",
"00","총계","A002","국립","C_2","여자","2019 년","9",
"00","총계","A002","국립","C_2","여자","2020 년","11",
"00","총계","A002","국립","C_2","여자","2021 년","9",
"00","총계","A002","국립","C_2","여자","2022 년","9",
"00","총계","A002","국립","D_1","입학자수","2013 년","1888",
"00","총계","A002","국립","D_1","입학자수","2014 년","1695",
"00","총계","A002","국립","D_1","입학자수","2015 년","1523",
"00","총계","A002","국립","D_1","입학자수","2016 년","1458",
"00","총계","A002","국립","D_1","입학자수","2017 년","1424",
"00","총계","A002","국립","D_1","입학자수","2018 년","1352",
"00","총계","A002","국립","D_1","입학자수","2019 년","1325",
"00","총계","A002","국립","D_1","입학자수","2020 년","1370",
"00","총계","A002","국립","D_1","입학자수","2021 년","1261",
"00","총계","A002","국립","D_1","입학자수","2022 년","1287",
"00","총계","A002","국립","D_2","여자","2013 년","933",
"00","총계","A002","국립","D_2","여자","2014 년","855",
"00","총계","A002","국립","D_2","여자","2015 년","711",
"00","총계","A002","국립","D_2","여자","2016 년","655",
"00","총계","A002","국립","D_2","여자","2017 년","694",
"00","총계","A002","국립","D_2","여자","2018 년","638",
"00","총계","A002","국립","D_2","여자","2019 년","679",
"00","총계","A002","국립","D_2","여자","2020 년","673",
"00","총계","A002","국립","D_2","여자","2021 년","627",
"00","총계","A002","국립","D_2","여자","2022 년","572",
"00","총계","A002","국립","E_1","졸업자수","2013 년","2081",
"00","총계","A002","국립","E_1","졸업자수","2014 년","1919",
"00","총계","A002","국립","E_1","졸업자수","2015 년","1918",
"00","총계","A002","국립","E_1","졸업자수","2016 년","1890",
"00","총계","A002","국립","E_1","졸업자수","2017 년","1701",
"00","총계","A002","국립","E_1","졸업자수","2018 년","1537",
"00","총계","A002","국립","E_1","졸업자수","2019 년","1450",
"00","총계","A002","국립","E_1","졸업자수","2020 년","1394",
"00","총계","A002","국립","E_1","졸업자수","2021 년","1362",
"00","총계","A002","국립","E_1","졸업자수","2022 년","1347",
"00","총계","A002","국립","E_2","여자","2013 년","999",
"00","총계","A002","국립","E_2","여자","2014 년","905",
"00","총계","A002","국립","E_2","여자","2015 년","940",
"00","총계","A002","국립","E_2","여자","2016 년","923",
"00","총계","A002","국립","E_2","여자","2017 년","861",
"00","총계","A002","국립","E_2","여자","2018 년","728",
"00","총계","A002","국립","E_2","여자","2019 년","663",
"00","총계","A002","국립","E_2","여자","2020 년","670",
"00","총계","A002","국립","E_2","여자","2021 년","640",
"00","총계","A002","국립","E_2","여자","2022 년","690",
"00","총계","A002","국립","F_3","교실수","2015 년","292",
"00","총계","A002","국립","F_3","교실수","2016 년","282",
"00","총계","A002","국립","F_3","교실수","2017 년","304",
"00","총계","A002","국립","F_3","교실수","2018 년","294",
"00","총계","A002","국립","F_3","교실수","2019 년","294",
"00","총계","A002","국립","F_3","교실수","2020 년","296",
"00","총계","A002","국립","F_3","교실수","2021 년","297",
"00","총계","A002","국립","F_3","교실수","2022 년","287",
"00","총계","A002","국립","F_1","정규교실","2013 년","194",
"00","총계","A002","국립","F_1","정규교실","2014 년","193",
"00","총계","A002","국립","F_2","가·대용교실","2013 년","1",
"00","총계","A002","국립","F_2","가·대용교실","2014 년","1",
"00","총계","A002","국립","F_4","일반교실","2015 년","158",
"00","총계","A002","국립","F_4","일반교실","2016 년","151",
"00","총계","A002","국립","F_4","일반교실","2017 년","150",
"00","총계","A002","국립","F_4","일반교실","2018 년","128",
"00","총계","A002","국립","F_4","일반교실","2019 년","128",
"00","총계","A002","국립","F_4","일반교실","2020 년","128",
"00","총계","A002","국립","F_4","일반교실","2021 년","124",
"00","총계","A002","국립","F_4","일반교실","2022 년","121",
"00","총계","A002","국립","F_5","교과교실","2015 년","79",
"00","총계","A002","국립","F_5","교과교실","2016 년","79",
"00","총계","A002","국립","F_5","교과교실","2017 년","67",
"00","총계","A002","국립","F_5","교과교실","2018 년","76",
"00","총계","A002","국립","F_5","교과교실","2019 년","76",
"00","총계","A002","국립","F_5","교과교실","2020 년","78",
"00","총계","A002","국립","F_5","교과교실","2021 년","81",
"00","총계","A002","국립","F_5","교과교실","2022 년","80",
"00","총계","A002","국립","F_6","특별교실","2015 년","51",
"00","총계","A002","국립","F_6","특별교실","2016 년","49",
"00","총계","A002","국립","F_6","특별교실","2017 년","84",
"00","총계","A002","국립","F_6","특별교실","2018 년","86",
"00","총계","A002","국립","F_6","특별교실","2019 년","86",
"00","총계","A002","국립","F_6","특별교실","2020 년","87",
"00","총계","A002","국립","F_6","특별교실","2021 년","84",
"00","총계","A002","국립","F_6","특별교실","2022 년","79",
"00","총계","A002","국립","F_7","수준별교실","2015 년","4",
"00","총계","A002","국립","F_7","수준별교실","2016 년","3",
"00","총계","A002","국립","F_7","수준별교실","2017 년","3",
"00","총계","A002","국립","F_7","수준별교실","2018 년","4",
"00","총계","A002","국립","F_7","수준별교실","2019 년","4",
"00","총계","A002","국립","F_7","수준별교실","2020 년","3",
"00","총계","A002","국립","F_7","수준별교실","2021 년","8",
"00","총계","A002","국립","F_7","수준별교실","2022 년","7",
"00","총계","A002","국립","G_1","학급수","2013 년","186",
"00","총계","A002","국립","G_1","학급수","2014 년","186",
"00","총계","A002","국립","G_1","학급수","2015 년","182",
"00","총계","A002","국립","G_1","학급수","2016 년","178",
"00","총계","A002","국립","G_1","학급수","2017 년","176",
"00","총계","A002","국립","G_1","학급수","2018 년","177",
"00","총계","A002","국립","G_1","학급수","2019 년","175",
"00","총계","A002","국립","G_1","학급수","2020 년","175",
"00","총계","A002","국립","G_1","학급수","2021 년","173",
"00","총계","A002","국립","G_1","학급수","2022 년","172",
"00","총계","A002","국립","G_3","1학년","2013 년","59",
"00","총계","A002","국립","G_3","1학년","2014 년","58",
"00","총계","A002","국립","G_3","1학년","2015 년","56",
"00","총계","A002","국립","G_3","1학년","2016 년","55",
"00","총계","A002","국립","G_3","1학년","2017 년","55",
"00","총계","A002","국립","G_3","1학년","2018 년","56",
"00","총계","A002","국립","G_3","1학년","2019 년","55",
"00","총계","A002","국립","G_3","1학년","2020 년","54",
"00","총계","A002","국립","G_3","1학년","2021 년","54",
"00","총계","A002","국립","G_3","1학년","2022 년","55",
"00","총계","A002","국립","G_4","2학년","2013 년","59",
"00","총계","A002","국립","G_4","2학년","2014 년","59",
"00","총계","A002","국립","G_4","2학년","2015 년","58",
"00","총계","A002","국립","G_4","2학년","2016 년","56",
"00","총계","A002","국립","G_4","2학년","2017 년","56",
"00","총계","A002","국립","G_4","2학년","2018 년","55",
